-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne I    |  4284.446  |    10 | 7  |           |      
Ne I    |  4289.730  |     5 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4291.006  |     2 | 3  |           |      
Ne I    |  4293.194  |    2* | 7  |           |      
Ne I    |  4293.198  |    2* | 5  |           |      
Ne I    |  4293.207  |    2* | 5  |           |      
Ne I    |  4304.4642 |    30 | 3  |           |      
        |            |       |    |           |      
Ne I    |  4304.931  |     1 | 3  |           |      
Ne I    |  4305.166  |    5* | 5  |           |      
Ne I    |  4305.172  |    5* | 5  |           |      
Ne I    |  4307.4627 |    70 | 5  |           |      
Ne I    |  4311.343  |     2 | 7  |           |      
        |            |       |    |           |      
Ne I    |  4315.330  |    1* | 7  |           |      
Ne I    |  4315.338  |    1* | 5  |           |      
Ne I    |  4315.893  |   30* | 7  |           |      
Ne I    |  4315.908  |   30* | 9  |           |      
Ne I    |  4317.2186 |   15* | 7  |           |      
        |            |       |    |           |      
Ne I    |  4317.2333 |   15* | 5  |           |      
Ne I    |  4320.002  |     5 | 3  |           |      
Ne I    |  4320.717  |     1 | 5  |           |      
Ne I    |  4322.704  |     2 | 1  |           |      
Ne I    |  4328.486  |    10 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4335.3427 |    70 | 3  |           |      
Ne I    |  4337.439  |    50 | 1  |           |      
Ne I    |  4339.419  |     2 | 5  |           |      
Ne I    |  4341.475  |    2* | 7  |           |      
Ne I    |  4341.476  |    2* | 5  |           |      
        |            |       |    |           |      
Ne I    |  4341.482  |    2* | 5  |           |      
Ne I    |  4341.640  |     2 | 3  |           |      
Ne I    |  4346.689  |    2* | 7  |           |      
Ne I    |  4346.696  |    2* | 5  |           |      
Ne I    |  4346.984  |     1 | 5  |           |      
        |            |       |    |           |      
Ne I    |  4347.259  |    15 | 7  |           |      
Ne I    |  4358.520  |     2 | 3  |           |      
Ne I    |  4359.132  |     1 | 3  |           |      
